id;scaped_id;category_id;name;price;description;link
1;199578;1;"Cleats adidas F50 Elite LL FG - White
									";"
    270,00 €
";[<p>Boost your pace in lightweight adidas F50 shoes designed for speed. These laceless Elite football boots feature a thin Fibertouch upper with a foot-hugging adidas PRIMEKNIT collar and 3D Sprintweb texture to keep the ball close to your foot. The responsive Sprintframe 360 outsole, designed for playing on natural grass, provides exceptional acceleration. <br/></p>];https://www.r-gol.com/en/cleats-adidas-f50-elite-ll-fg-white,p-199578
2;191711;1;"Cleats Nike Zoom Mercurial Vapor 16 Elite FG - sky blue
									";"
    194,99 €
";"[""Do you have an obsession with speed? The biggest basketball stars have it too. That's why we created the Elite cleats with an improved 3/4 length Air Zoom cushion. This model will provide you and the fastest players with the acceleration you need to break through the defense line. As a result, we have created the most dynamic Mercurial shoes we have ever designed. All to satisfy your pursuit of perfection. "", <br/>, <br/>, 'Exceptional ball feel ', <br/>, <br/>, 'Nike Gripknit is a grippy material that provides better ball feel. It has a larger surface area, giving you more space to control the ball during high-speed dribbling or to finish the game with an accurate shot on goal. In addition, it conforms to the shape of the foot and provides consistent grip in both wet and dry conditions, ensuring a snug fit comparable to track spikes. The embossed microtexture works with Gripknit technology, conforming to the foot and allowing for even better ball feel. ', <br/>, <br/>, 'Dynamic grip ', <br/>, <br/>, 'The wavy tread pattern created by the cascadingly placed cleats covers a larger surface area in the Air Zoom cushion area and provides proper grip. The largest cleat has the same height as traditional mid cleats, so the grip is consistent everywhere. In addition to the wavy tread, we have also used studs in the shape of fir trees and blades, which make it easier to stop during dynamic turns. ', <br/>, <br/>, 'Perfect fit ', <br/>, <br/>, 'The Flyknit upper is designed for speed. The Atomknit fabric, an extremely lightweight and durable version of Flyknit, is placed on the sides to reduce the weight of the shoes and provide support. By combining Gripknit, Atomknit, and Flyknit technologies, we have created the thinnest Mercurial upper, allowing for better ball feel and faster adaptation to the foot.']";https://www.r-gol.com/en/cleats-nike-zoom-mercurial-vapor-16-elite-fg-sky-blue,p-191711
3;191710;1;"Cleats Nike Zoom Mercurial Vapor 16 Elite FG - Black
									";"
    182,99 €
";"[""Do you have an obsession with speed? The biggest basketball stars have it too. That's why we created the Elite cleats with an improved 3/4 length Air Zoom cushion. This model will provide you and the fastest players with the acceleration you need to break through the defense line. As a result, we have created the most dynamic Mercurial shoes we have ever designed. All to satisfy your pursuit of perfection. "", <br/>, <br/>, 'Exceptional ball feel ', <br/>, <br/>, 'Nike Gripknit is a grippy material that provides better ball feel. It has a larger surface area, giving you more space to control the ball during high-speed dribbling or to finish the game with an accurate shot on goal. In addition, it conforms to the shape of the foot and provides consistent grip in both wet and dry conditions, ensuring a snug fit comparable to track spikes. The embossed microtexture works with Gripknit technology, conforming to the foot and allowing for even better ball feel. ', <br/>, <br/>, 'Dynamic grip ', <br/>, <br/>, 'The wavy tread pattern created by the cascadingly placed cleats covers a larger surface area in the Air Zoom cushion area and provides proper grip. The largest cleat has the same height as traditional mid cleats, so the grip is consistent everywhere. In addition to the wavy tread, we have also used studs in the shape of fir trees and blades, which make it easier to stop during dynamic turns. ', <br/>, <br/>, 'Perfect fit ', <br/>, <br/>, 'The Flyknit upper is designed for speed. The Atomknit fabric, an extremely lightweight and durable version of Flyknit, is placed on the sides to reduce the weight of the shoes and provide support. By combining Gripknit, Atomknit, and Flyknit technologies, we have created the thinnest Mercurial upper, allowing for better ball feel and faster adaptation to the foot.']";https://www.r-gol.com/en/cleats-nike-zoom-mercurial-vapor-16-elite-fg-black,p-191710
4;95634;1;"adidas Mundial Team Boots - Black
									";"
    107,99 €
";"['This is probably one of the most popular shoe models on Polish pitches! Both amateur and more advanced players love them. They were created with the thought of those footballers who compete on artificial turf in mind. ', <br/>, <br/>, ""What makes adidas Mundial Team shoes stand out is their durability. But we can't forget about the huge comfort that the kangaroo leather upper provides. Add to that the sole that ensures fantastic traction on artificial surfaces and we have the perfect model! "", <br/>, <br/>, 'Remember that the kangaroo leather upper will break in after the first use, so pay special attention to choosing the right size!', <p></p>, <p><a href=""http://www.r-gol.com/jak-wybrac-odpowiednie-buty-pilkarskie""><u>How to choose the right football shoes?</u></a><br/></p>]";https://www.r-gol.com/en/adidas-mundial-team-boots-black,p-95634
5;194479;1;"Cleats Nike Zoom Mercurial Vapor 16 Elite FG - Red
									";"
    269,99 €
";"[""Do you have an obsession with speed? The biggest basketball stars have it too. That's why we created the Elite cleats with an improved 3/4 length Air Zoom cushion. This model will provide you and the fastest players with the acceleration you need to break through the defense line. As a result, we have created the most dynamic Mercurial shoes we have ever designed. All to satisfy your pursuit of perfection. "", <br/>, <br/>, 'Exceptional ball feel ', <br/>, <br/>, 'Nike Gripknit is a grippy material that provides better ball feel. It has a larger surface area, giving you more space to control the ball during high-speed dribbling or to finish the game with an accurate shot on goal. In addition, it conforms to the shape of the foot and provides consistent grip in both wet and dry conditions, ensuring a snug fit comparable to track spikes. The embossed microtexture works with Gripknit technology, conforming to the foot and allowing for even better ball feel. ', <br/>, <br/>, 'Dynamic grip ', <br/>, <br/>, 'The wavy tread pattern created by the cascadingly placed cleats covers a larger surface area in the Air Zoom cushion area and provides proper grip. The largest cleat has the same height as traditional mid cleats, so the grip is consistent everywhere. In addition to the wavy tread, we have also used studs in the shape of fir trees and blades, which make it easier to stop during dynamic turns. ', <br/>, <br/>, 'Perfect fit ', <br/>, <br/>, 'The Flyknit upper is designed for speed. The Atomknit fabric, an extremely lightweight and durable version of Flyknit, is placed on the sides to reduce the weight of the shoes and provide support. By combining Gripknit, Atomknit, and Flyknit technologies, we have created the thinnest Mercurial upper, allowing for better ball feel and faster adaptation to the foot.']";https://www.r-gol.com/en/cleats-nike-zoom-mercurial-vapor-16-elite-fg-red,p-194479
6;191682;1;"Cleats Nike Phantom Luna II Elite FG - Black
									";"
    159,99 €
";[<p>Step into a new day and show the world what you're made of. A bright, iridescent plate, futuristic graphics and vibrant colors reminiscent of a gradient sunrise evoke the powerful female game. This is a power that can unite us on and off the pitch. We've taken feedback from athletes to provide the traction you need to play fast and confidently. That's what football is all about after all. The studs designed with craftsmanship in mind allow for precise turns when the game picks up speed and give a national flair.Traction on the pitchThe Nike Cyclone 360 pattern allows for quick and agile movements that give you confidence to dynamically change direction and feel secure when the game picks up speed.Better touchNike Gripknit is a grippy material that provides better ball touch. It covers the first two laces and the increased surface area improves ball control. Additionally, it conforms to the shape of your foot and provides consistent traction in both wet and dry conditions. The embossed micro-texture works with the Gripknit technology to conform to your foot and give you even better ball touch.Proper fit and stabilityThe asymmetrical lacing allows for a larger contact area when dribbling, passing and scoring. The modified lacing pattern increases the adjustability in the midfoot area, making it easier to fit those with a flatter or higher arch. The asymmetrical Flyknit collar provides a snug fit. The subtle drawcords in the collars allow for better ball contact with the ground around the ankle when receiving and passing.</p>];https://www.r-gol.com/en/cleats-nike-phantom-luna-ii-elite-fg-black,p-191682
7;191675;1;"Cleats Nike Phantom GX Elite FG
									";"
    186,99 €
";[<p>Do you have an obsession with perfecting your craft? Elite Korki, designed for you and the world's biggest stars, stand out for their high quality because you demand perfection from yourself and your footwear. Nike Gripknit revolutionary material provides better ball feel. The silhouette was designed to increase precision when striking and taking control of the ball.</p>, <p>Better ball contact</p>, <p>Nike Gripknit is a grippy material that provides better ball feel. It covers most of the upper, including the first two rows of laces, thus being in the areas of most frequent contact with the ball. In addition, it adapts to the shape of the foot and provides uniform grip in both wet and dry conditions.</p>, <p>Fit and comfort</p>, <p>Asymmetrical collar and heel areas provide comfort. Soft elements in the heel area make it easier to break in the shoes and reduce the risk of irritation and foot squeezing, while providing the necessary stability.</p>, <p>Grip on the pitch</p>, <p>Tri-star studs work with the flexible grooves in the front of the shoe to provide optimal grip and make it easier to make directional changes. See those lines on the outer sole? They fit your dynamic playing style and zigzag movements, allowing you to bypass defenders and take a shot.</p>];https://www.r-gol.com/en/cleats-nike-phantom-gx-elite-fg,p-191675
8;199543;1;"Cleats adidas Predator Elite LL FG - Black
									";"
    270,00 €
";[<p>Enter every match knowing that you will score points in adidas Predator Elite shoes designed for goals. The flexible HybridTouch upper with strategically placed Strikeskin rubber elements and a laced construction was created to help you achieve perfect ball control. The Controlframe 2.0 outsole for natural surfaces and the adidas PRIMEKNIT collar provide stability as you give it your all.</p>];https://www.r-gol.com/en/cleats-adidas-predator-elite-ll-fg-black,p-199543
9;199533;1;"Cleats adidas Predator Elite LL SG - Black
									";"
    270,00 €
";[<p>Enter every match knowing that you will score points in adidas Predator Elite shoes designed for goal scoring. The flexible HybridTouch upper with strategically placed Strikeskin rubber elements and a laceless construction was created to help you have perfect contact with the ball. The Controlframe 2.0 outsole for soft ground play and the adidas PRIMEKNIT collar provide stability as you give it your all.</p>];https://www.r-gol.com/en/cleats-adidas-predator-elite-ll-sg-black,p-199533
10;199546;1;"Cleats adidas Predator Elite FG - Black
									";"
    260,00 €
";[<p>Enter every match knowing that you will score points in adidas Predator Elite shoes designed for goals. The flexible HybridTouch upper with strategically placed Strikeskin rubber elements in the forefoot was created to help you have perfect contact with the ball. The Controlframe 2.0 outsole for natural surfaces and the adidas PRIMEKNIT collar provide stability as you give it your all.</p>];https://www.r-gol.com/en/cleats-adidas-predator-elite-fg-black,p-199546
